username,tag,time,tweet,comment,like,retweet
Elon Musk,@elonmusk,2021-07-10T05:47:13.000Z,Fellowship of the RaptorsFellowship of the Raptors,4.4K,55.1K,4.1K
Elon Musk,@elonmusk,2021-07-10T03:11:05.000Z,Dragon returning from orbitDragon returning from orbit,3.2K,22.8K,1.9K
Elon Musk,@elonmusk,2021-07-09T21:50:01.000Z,Solar + Powerwall battery ensures that your home never loses powerSolar + Powerwall battery ensures that your home never loses power,7.2K,97.5K,7.3K
Elon Musk,@elonmusk,2021-07-09T20:50:33.000Z,Tesla Solar Roof + Powerwall in major new housing development in AustinTesla Solar Roof + Powerwall in major new housing development in Austin,2.5K,20.3K,2K
Elon Musk,@elonmusk,2021-07-09T20:39:21.000Z,"Autonomous SpaceX droneship,
A Shortfall of GravitasAutonomous SpaceX droneship,
A Shortfall of Gravitas",4.6K,105.5K,12K
Electrek.Co,@ElectrekCo,2021-07-05T22:35:43.000Z,"I just bought my very first Tesla. Here's what happened https://electrek.co/2021/07/05/i-just-bought-my-very-first-tesla-heres-what-happened/… by 
@michelle0728I just bought my very first Tesla. Here's what happened https://electrek.co/2021/07/05/i-just-bought-my-very-first-tesla-heres-what-happened/… by 
@michelle0728",1.5K,11.3K,1K
Elon Musk,@elonmusk,2021-07-08T05:51:19.000Z,I love this I love this ,7.1K,117.3K,9.4K
Elon Musk,@elonmusk,2021-07-07T18:48:11.000Z,Supersonic shock waveSupersonic shock wave,1.7K,39.2K,1.5K
Elon Musk,@elonmusk,2021-07-07T18:46:53.000Z,,1.8K,64.6K,3.4K
Elon Musk,@elonmusk,2021-07-07T16:58:11.000Z,High res landing Falcon landing videoHigh res landing Falcon landing video,9.4K,194.4K,21.6K
Elon Musk,@elonmusk,2021-07-06T22:09:32.000Z,,17K,309.8K,37K
Elon Musk,@elonmusk,2021-07-05T07:12:04.000Z,Free BritneyFree Britney,17.7K,449.4K,58K
Elon Musk,@elonmusk,2021-07-04T18:06:48.000Z,Happy 4th to all!Happy 4th to all!,3.5K,86.9K,3.5K
Elon Musk,@elonmusk,2021-07-04T17:59:19.000Z,Bless AmericaBless America,11.5K,238.2K,13.9K
Elon Musk,@elonmusk,2021-07-03T21:23:23.000Z,New SpaceX Starlink cover shows transfer orbit from Earth to MarsNew SpaceX Starlink cover shows transfer orbit from Earth to Mars,6.4K,97.2K,6.8K
Elon Musk,@elonmusk,2021-07-02T13:20:14.000Z,,16.5K,203.4K,22.5K
Elon Musk,@elonmusk,2021-07-02T13:09:28.000Z,"Congrats Tesla Team on over 200,000 car built & delivered in Q2, despite many challenges!!Congrats Tesla Team on over 200,000 car built & delivered in Q2, despite many challenges!!",7.9K,174.6K,11K
Elon Musk,@elonmusk,2021-07-02T09:03:21.000Z,,7.9K,239.4K,16.2K
Elon Musk,@elonmusk,2021-07-01T18:44:25.000Z,Super Heavy on road & 7th Tower segment addedSuper Heavy on road & 7th Tower segment added,5.6K,119.9K,9.4K
SpaceX,@SpaceX,2021-06-30T19:19:37.000Z,Watch Falcon 9 launch 88 spacecraft to orbit → http://spacex.com/launchesWatch Falcon 9 launch 88 spacecraft to orbit → http://spacex.com/launches,983,16.3K,2.5K
SpaceX,@SpaceX,2021-06-29T18:43:40.000Z,Live webcast of the Transporter-2 mission → http://spacex.com/launchesLive webcast of the Transporter-2 mission → http://spacex.com/launches,1.9K,25.5K,3.6K
SpaceX,@SpaceX,2021-06-29T14:56:49.000Z,"Falcon 9 and 88 spacecraft are vertical on pad 40 ahead of today’s launch. The 58-minute window opens at 2:56 p.m. EDT, and the webcast will go live about 15 minutes before liftoff → http://spacex.com/launchesFalcon 9 and 88 spacecraft are vertical on pad 40 ahead of today’s launch. The 58-minute window opens at 2:56 p.m. EDT, and the webcast will go live about 15 minutes before liftoff → http://spacex.com/launches",1.6K,25.9K,2.8K
Elon Musk,@elonmusk,2021-06-28T20:25:03.000Z,Thanks for all the happy birthday wishes!Thanks for all the happy birthday wishes!,36.7K,380.4K,19K
Elon Musk,@elonmusk,2021-06-27T14:11:23.000Z,,14.4K,315.6K,27.1K
Elon Musk,@elonmusk,2021-06-25T22:58:58.000Z,"All 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 monthsAll 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 months",3.2K,62K,3.6K
Elon Musk,@elonmusk,2021-06-25T22:51:28.000Z,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!",11.1K,170K,14K
Elon Musk,@elonmusk,2021-06-25T11:03:04.000Z,My Shiba Inu will be named FlokiMy Shiba Inu will be named Floki,39.4K,303.9K,45.5K
Elon Musk,@elonmusk,2021-06-25T10:42:24.000Z,Timing is everythingTiming is everything,8.3K,211.2K,18.8K
TijnM_3DAnimations,@m_tijn,2021-06-08T12:07:47.000Z,"Accidentally deleted this tweet, so here it is again!
#EpicRocketRender #liftoff #spaceX #launchTower #Blender3dAccidentally deleted this tweet, so here it is again!
#EpicRocketRender #liftoff #spaceX #launchTower #Blender3d",845,14.3K,1K
Archillect,@archillect,2021-06-25T02:14:28.000Z,,1.9K,61.6K,5.5K
Elon Musk,@elonmusk,2021-06-25T02:11:52.000Z,“That’s not funny!” – Bitcoin maxis“That’s not funny!” – Bitcoin maxis,3.5K,60.8K,3.3K
Elon Musk,@elonmusk,2021-06-25T02:10:31.000Z,How many Bitcoin maxis does it take to screw in a lightbulb?How many Bitcoin maxis does it take to screw in a lightbulb?,18K,101.5K,10.5K
Elon Musk,@elonmusk,2021-06-24T01:10:10.000Z,Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!,9.3K,154.1K,8.5K
SpaceX,@SpaceX,2021-06-21T20:40:14.000Z,View from the droneship of Falcon 9’s landingView from the droneship of Falcon 9’s landing,3.8K,50.6K,5.8K
SpaceX,@SpaceX,2021-06-17T16:19:51.000Z,"Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flightFalcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s second GPS III flight",2.3K,43.1K,6.2K
SpaceX,@SpaceX,2021-06-17T17:41:30.000Z,Deployment of GPS III-5 confirmedDeployment of GPS III-5 confirmed,1K,23.7K,2K
SpaceX,@SpaceX,2021-06-17T18:04:19.000Z,Flight-proven Falcon 9 launches GPS III-5 to orbitFlight-proven Falcon 9 launches GPS III-5 to orbit,1.1K,35.3K,2.9K
motortrend,@MotorTrend,2021-06-17T16:34:38.000Z,"We head to Auto Club Famoso Raceway to test out how long it takes the 2022 
@Tesla
 Model S Plaid to go from 0 to 60 mph. Tesla's new Model S Plaid promises incredible acceleration but does it deliver? Get the full story right here   https://bit.ly/35yRJLAWe head to Auto Club Famoso Raceway to test out how long it takes the 2022 
@Tesla
 Model S Plaid to go from 0 to 60 mph. Tesla's new Model S Plaid promises incredible acceleration but does it deliver? Get the full story right here   https://bit.ly/35yRJLA",1.1K,14.8K,1.4K
Elon Musk,@elonmusk,2021-06-16T22:37:20.000Z,Let’s just skip original video games & movies & go straight to the sequelLet’s just skip original video games & movies & go straight to the sequel,15K,146.9K,10.3K
Elon Musk,@elonmusk,2021-06-15T08:06:24.000Z,From the top of Starbase high bayFrom the top of Starbase high bay,10.5K,133.8K,10K
CleanTechnica,@cleantechnica,2021-06-15T07:16:24.000Z,Jay Leno Breaks World Record In Tesla’s New Plaid Model S — “I Love This Car”Jay Leno Breaks World Record In Tesla’s New Plaid Model S — “I Love This Car”,1.7K,21.6K,1.9K
Elon Musk,@elonmusk,2021-06-15T07:47:35.000Z,Stacking Super Heavy Aft SectionStacking Super Heavy Aft Section,6.1K,156.6K,9.9K
Elon Musk,@elonmusk,2021-06-14T08:22:48.000Z,K is KindredK is Kindred,12.9K,42.5K,2.3K
Elon Musk,@elonmusk,2021-06-14T08:21:46.000Z,Could turn out to be one big Philip K Dick joke in the endCould turn out to be one big Philip K Dick joke in the end,8.4K,71.9K,3.9K
Elon Musk,@elonmusk,2021-06-14T08:13:50.000Z,"Pluto takes 248 years to orbit the sun, but Uranus only takes 84Pluto takes 248 years to orbit the sun, but Uranus only takes 84",16.5K,249.3K,16.6K
Elon Musk,@elonmusk,2021-06-14T05:04:50.000Z,!!!!,15.9K,384.6K,41.5K
Elon Musk,@elonmusk,2021-06-14T04:02:55.000Z,This is trueThis is true,4.9K,88.4K,5.4K
Elon Musk,@elonmusk,2021-06-11T04:47:43.000Z,"Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.",4.3K,56.1K,2.4K
Elon Musk,@elonmusk,2021-06-11T04:45:32.000Z,Order Tesla Model S Plaid atOrder Tesla Model S Plaid at,10.1K,92.9K,7.2K
Tesla,@Tesla,2021-06-07T19:58:42.000Z,"Model S Plaid delivery event at our Fremont factory will be streamed live on June 10, 7pm PacificModel S Plaid delivery event at our Fremont factory will be streamed live on June 10, 7pm Pacific",8.4K,63K,7.6K
Elon Musk,@elonmusk,2021-06-06T20:48:20.000Z,0 to 60mph in under 2 secs. Quickest production car ever made of any kind. Has to be felt to be believed.0 to 60mph in under 2 secs. Quickest production car ever made of any kind. Has to be felt to be believed.,6.2K,116.1K,6.7K
Elon Musk,@elonmusk,2021-06-06T20:46:19.000Z,"Plaid+ is canceled. No need, as Plaid is just so good.Plaid+ is canceled. No need, as Plaid is just so good.",4.1K,77.9K,3.7K
Elon Musk,@elonmusk,2021-06-06T20:45:13.000Z,Model S goes to Plaid speed this weekModel S goes to Plaid speed this week,13.2K,145.8K,7.9K
Elon Musk,@elonmusk,2021-06-06T11:07:47.000Z,,13K,312.1K,21.9K
Elon Musk,@elonmusk,2021-06-06T10:58:55.000Z,,12.2K,270.9K,22.6K
Elon Musk,@elonmusk,2021-06-06T08:36:37.000Z,I guess we read the instructions hahaI guess we read the instructions haha,5.9K,80.6K,4.9K
SpaceX,@SpaceX,2021-06-05T16:06:01.000Z,Falcon 9 and SXM-8 vertical ahead of tomorrow morning’s launch → http://spacex.com/launchesFalcon 9 and SXM-8 vertical ahead of tomorrow morning’s launch → http://spacex.com/launches,2.5K,40.7K,3.2K
NASA,@NASA,2021-06-05T09:13:12.000Z,"Contact and capture are confirmed at 5:09am ET. 
@SpaceX
's cargo Dragon has arrived at the 
@Space_Station
, delivering over 7,300 pounds of 
@ISS_Research
, equipment, supplies, and new roll-out solar arrays for the orbiting lab.Contact and capture are confirmed at 5:09am ET. 
@SpaceX
's cargo Dragon has arrived at the 
@Space_Station
, delivering over 7,300 pounds of 
@ISS_Research
, equipment, supplies, and new roll-out solar arrays for the orbiting lab.",937,26K,2.4K
Elon Musk,@elonmusk,2021-06-05T21:18:43.000Z,"Don’t kill what you hate,
Save what you loveDon’t kill what you hate,
Save what you love",44.6K,479K,71.7K
Elon Musk,@elonmusk,2021-06-05T18:55:49.000Z,"Goods & services are the real economy, any form of money is simply the accounting thereofGoods & services are the real economy, any form of money is simply the accounting thereof",23K,213.2K,23.3K
SpaceX,@SpaceX,2021-06-01T14:43:14.000Z,"Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the 
@Space_StationFalcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the 
@Space_Station",2.4K,64.7K,5.7K
Elon Musk,@elonmusk,2021-05-30T19:42:22.000Z,Ocean spaceport Deimos is under construction for launch next yearOcean spaceport Deimos is under construction for launch next year,10.3K,130.5K,12.7K
SpaceX,@SpaceX,2021-05-30T13:04:26.000Z,"One year ago today, SpaceX launched its first human spaceflight mission with 
@NASA
 astronauts 
@AstroBehnken
 and 
@Astro_Doug
 on boardOne year ago today, SpaceX launched its first human spaceflight mission with 
@NASA
 astronauts 
@AstroBehnken
 and 
@Astro_Doug
 on board",1.4K,38.3K,3.6K
Elon Musk,@elonmusk,2021-05-29T05:01:18.000Z,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance.Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance.",10.6K,144.5K,9.3K
Elon Musk,@elonmusk,2021-05-28T04:56:24.000Z,,3.3K,102.2K,4.4K
Elon Musk,@elonmusk,2021-05-28T03:47:51.000Z,"Ship 16 & Booster 2, Starbase HighbayShip 16 & Booster 2, Starbase Highbay",11.8K,270.1K,20.6K
Tesla,@Tesla,2021-05-26T20:30:57.000Z,Just surpassed 200k Powerwall installs globally Just surpassed 200k Powerwall installs globally ,3.7K,40.3K,3.9K
Tesla,@Tesla,2021-05-26T18:53:46.000Z,"If you want to help cover Giga Berlin in awesome graffiti art, send us your work at GigaBerlinArt@Tesla.comIf you want to help cover Giga Berlin in awesome graffiti art, send us your work at GigaBerlinArt@Tesla.com",3.8K,48.6K,4.8K
SpaceX,@SpaceX,2021-05-26T18:51:29.000Z,Today's flight will mark the 40th time SpaceX has reflown Falcon fairing halves since November 2019Today's flight will mark the 40th time SpaceX has reflown Falcon fairing halves since November 2019,2K,45.9K,3.4K
SpaceX,@SpaceX,2021-05-26T18:46:29.000Z,Watch Falcon 9 launch 60 Starlink satellites to orbit → http://spacex.com/launchesWatch Falcon 9 launch 60 Starlink satellites to orbit → http://spacex.com/launches,1.7K,30.2K,5.1K
Elon Musk,@elonmusk,2021-05-26T18:49:21.000Z,"If only they had spaceships, they’d still be aroundIf only they had spaceships, they’d still be around",6.6K,140.9K,6.1K
Elon Musk,@elonmusk,2021-05-26T18:47:30.000Z,Deep thotsDeep thots,14.5K,302.9K,32.1K
Elon Musk,@elonmusk,2021-05-22T09:22:41.000Z,Any sufficiently advanced magic is indistinguishable from technologyAny sufficiently advanced magic is indistinguishable from technology,24.6K,292.9K,27.3K
Elon Musk,@elonmusk,2021-05-20T10:41:00.000Z,How much is that Doge in the window?How much is that Doge in the window?,73.8K,312.2K,63.2K
Elon Musk,@elonmusk,2021-05-20T07:54:54.000Z,"Tesla Model S Plaid delivery event
June 3 at our California factory

Fastest production car ever
0 to 60mph in under 2 secsTesla Model S Plaid delivery event
June 3 at our California factory

Fastest production car ever
0 to 60mph in under 2 secs",18.6K,200.7K,16.5K
Elon Musk,@elonmusk,2021-05-19T15:41:10.000Z,Credit to our Master of CoinCredit to our Master of Coin,16K,176.1K,15.2K
Elon Musk,@elonmusk,2021-05-19T14:42:44.000Z,Tesla has  Tesla has  ,72.1K,467.3K,76.7K
Elon Musk,@elonmusk,2021-05-18T13:43:19.000Z,"Aiming for extreme precision with next gen Model Y – microns, not millimetersAiming for extreme precision with next gen Model Y – microns, not millimeters",6.4K,96.1K,4.9K
Elon Musk,@elonmusk,2021-05-18T11:46:18.000Z,Giga Berlin suppliers please accelerate!Giga Berlin suppliers please accelerate!,18.9K,162K,10.7K
Elon Musk,@elonmusk,2021-05-18T09:25:14.000Z,,18.7K,284K,20.6K
SpaceX,@SpaceX,2021-05-15T22:44:18.000Z,Live feed of Starlink mission → http://spacex.com/launchesLive feed of Starlink mission → http://spacex.com/launches,12K,69.9K,10.7K
Tesla,@Tesla,2021-05-14T16:25:44.000Z,Configurator now live in Hungary  & Romania Configurator now live in Hungary  & Romania ,8.5K,82.1K,5.8K
SpaceX,@SpaceX,2021-05-13T19:33:59.000Z,SpaceX’s fifth high-altitude flight test of Starship from Starbase in TexasSpaceX’s fifth high-altitude flight test of Starship from Starbase in Texas,9.7K,154.4K,23K
Elon Musk,@elonmusk,2021-05-13T23:30:52.000Z,As alwaysAs always,38K,370.3K,53.5K
Elon Musk,@elonmusk,2021-05-13T22:45:16.000Z,Working with Doge devs to improve system transaction efficiency. Potentially promising.Working with Doge devs to improve system transaction efficiency. Potentially promising.,66.8K,550.7K,107.5K
Elon Musk,@elonmusk,2021-05-13T21:11:46.000Z,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coalTo be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal",59.4K,372.9K,43.6K
Elon Musk,@elonmusk,2021-05-13T20:59:45.000Z,It is high time there was a carbon tax!It is high time there was a carbon tax!,34.9K,249.4K,24.9K
Elon Musk,@elonmusk,2021-05-13T09:54:35.000Z,Energy usage trend over past few months is insane https://cbeci.orgEnergy usage trend over past few months is insane https://cbeci.org,24.3K,90.6K,12.7K
Elon Musk,@elonmusk,2021-05-12T22:06:14.000Z,Tesla & BitcoinTesla & Bitcoin,126.5K,507K,127.8K
Elon Musk,@elonmusk,2021-05-09T13:21:16.000Z,Wario was my fav haha Wario was my fav haha ,20.1K,137.8K,10.9K
Elon Musk,@elonmusk,2021-05-08T20:39:52.000Z,"Special link to view SNL outside USA
https://m.youtube.com/watch?v=VJX9ymv_vUQ&feature=youtu.be…Special link to view SNL outside USA
https://m.youtube.com/watch?v=VJX9ymv_vUQ&feature=youtu.be…",20.9K,174.6K,29.5K
Elon Musk,@elonmusk,2021-05-08T09:03:01.000Z,First time a Falcon rocket booster will reach double digits in flightsFirst time a Falcon rocket booster will reach double digits in flights,6.5K,96.6K,6.9K
Elon Musk,@elonmusk,2021-05-08T01:22:52.000Z,Cybertruck prototype in New York this weekendCybertruck prototype in New York this weekend,12.2K,272.5K,17.6K
Elon Musk,@elonmusk,2021-05-07T21:05:35.000Z,Guest starring …Guest starring …,38.3K,768.8K,125.2K
Elon Musk,@elonmusk,2021-05-07T20:57:52.000Z,,9.8K,228.4K,21.4K
Saturday Night Live - SNL,@nbcsnl,2021-05-07T01:13:33.000Z,"ELON MUSK. MILEY CYRUS.
THIS SATURDAYELON MUSK. MILEY CYRUS.
THIS SATURDAY",9.5K,138.7K,23.3K
Elon Musk,@elonmusk,2021-05-07T04:24:20.000Z,"Cryptocurrency is promising, but please invest with caution!Cryptocurrency is promising, but please invest with caution!",18.8K,225.3K,43.4K
Elon Musk,@elonmusk,2021-05-06T19:26:59.000Z,Make humanity a multiplanet species!Make humanity a multiplanet species!,69.5K,626.6K,70.7K
